"year","site_no","NO3_Estimate","NO3_Upper","NO3_Lower"
2005,"usgs08164000",52787.60403171249,149204.83318946252,20761.041309545522
2006,"usgs08164000",11947.19453874938,21390.73673964152,6725.872618205358
2007,"usgs08164000",159682.1467093702,306838.5211932236,82971.78963854787
2008,"usgs08164000",19954.700142821406,33184.27682489633,11884.836372819304
2009,"usgs08164000",74555.12806999485,129087.6271977947,43624.2163292352
2010,"usgs08164000",65822.92036529958,125615.82829391334,35293.16181734344
2011,"usgs08164000",10663.37738931095,18481.834775263877,6202.866006244276
2012,"usgs08164000",38611.637495823925,65235.176565176844,23092.644736994196
2013,"usgs08164000",17148.292909758777,32918.14412836597,9012.054418770811
2014,"usgs08164000",4461.827652285248,8858.882913625834,2326.9831862195892
2015,"usgs08164000",110205.05734613286,230077.81668363753,53521.727068158434
2016,"usgs08164000",38886.623002569075,76965.04215017604,20374.307496230656
2017,"usgs08164000",41418.34555250234,92283.23297118332,18910.3781617804
2018,"usgs08164000",56843.82309209317,101537.54929826903,31767.312852540374
2019,"usgs08164000",14573.838381076815,24310.621079085202,8853.308548993844
2020,"usgs08164000",2075.68275908817,5674.059776932707,796.6819586825848
2005,"usgs08164525",191359.8498449186,322818.67396538774,113058.28547681509
2006,"usgs08164525",18649.878081336785,31833.871030558417,11005.321449369887
2007,"usgs08164525",634827.9006387906,977231.1058286902,420892.7227787983
2008,"usgs08164525",52103.99276899953,85273.10796785154,32186.76949314927
2009,"usgs08164525",54511.04712453403,93988.93450443425,31116.016635918775
2010,"usgs08164525",169550.65771579064,265965.8373577298,109947.71243674569
2011,"usgs08164525",1910.9852331706752,2940.398520349776,1247.4229931392044
2012,"usgs08164525",36418.36914865943,59373.66067381752,22727.957978129012
2013,"usgs08164525",7103.123300435148,10633.862805813365,4798.017212673341
2014,"usgs08164525",90569.32689435575,148758.8416612586,55432.63524472687
2015,"usgs08164525",427841.09273535013,691538.5765819487,265919.9406863754
2016,"usgs08164525",395225.0251502854,588662.7778048257,268791.7172180922
2017,"usgs08164525",301168.10319171456,465341.03887067025,199521.84977014837
2018,"usgs08164525",45744.651521020925,77548.04769626247,27408.023339966614
2019,"usgs08164525",103632.25148934222,158338.97515627692,68840.22233800362
2020,"usgs08164525",36230.43339287148,63191.92811717647,20852.57583322849
2005,"usgs08164390",97074.15826934455,144455.99897157584,64843.18206217562
2006,"usgs08164390",13704.53307502991,20210.80405146678,9373.47175669751
2007,"usgs08164390",272117.4501670994,396692.68605056376,190595.79851477846
2008,"usgs08164390",15698.222953591889,20809.311191802775,11834.43053458453
2009,"usgs08164390",102878.59115162077,146668.83667132998,72428.4578933501
2010,"usgs08164390",62370.75729847166,86583.75484118608,44698.70899104059
2011,"usgs08164390",2859.4627642535056,3821.01076792936,2157.4154993754064
2012,"usgs08164390",59754.178250412566,79822.7432083917,45104.80984176281
2013,"usgs08164390",18603.27227547432,25542.301158963037,13532.525191595558
2014,"usgs08164390",39949.71486690362,55969.655049951325,28777.16427345541
2015,"usgs08164390",236763.75449064947,332790.76110425295,169242.1157474551
2016,"usgs08164390",107564.05409289672,151199.508666149,76905.86618042423
2017,"usgs08164390",78340.99496091851,114208.1972094428,54022.322017082166
2018,"usgs08164390",36412.718829793965,55345.51709084275,24213.7423439026
2019,"usgs08164390",24691.190276480935,36214.64038398481,16915.76458262969
2020,"usgs08164390",14565.112607426101,22550.78685910918,9608.454764069756
2005,"usgs08164450",74749.73940257508,132162.36630906805,42605.654172970484
2006,"usgs08164450",9976.374542459978,16654.520661538387,6109.602055263306
2007,"usgs08164450",50827.400757035364,90737.90885424337,29118.12742673139
2008,"usgs08164450",9521.769146735616,15669.101684141906,5829.831421143113
2009,"usgs08164450",9640.060291098127,19114.799428243983,4957.768017902029
2010,"usgs08164450",16698.33647897288,29740.903605610853,9282.752684285784
2011,"usgs08164450",2780.07629853573,4258.2583560316025,1844.4208746602667
2012,"usgs08164450",28872.05060118343,48648.17101819408,17715.211728728114
2013,"usgs08164450",14239.863282055816,22995.86939229003,9337.29148675338
2014,"usgs08164450",25948.608687450345,41768.08776642082,16639.424116704326
