"year","site_no","NO3_Estimate","NO3_Upper","NO3_Lower"
2005,"usgs08164000",60422.34706860346,159264.3277439955,25266.59278068776
2006,"usgs08164000",55756.8761086798,119928.74380742804,26635.255583252176
2007,"usgs08164000",66863.30888201197,130368.19537206214,33979.171404358094
2008,"usgs08164000",224653.77028021382,426854.03289615957,116662.63431915414
2009,"usgs08164000",151855.27777739495,287592.57078348415,81049.21098861635
2010,"usgs08164000",61263.96070571297,121884.73273509997,30989.90469242553
2011,"usgs08164000",144335.8352638836,309740.7870256556,69009.04299423669
2012,"usgs08164000",138755.42701327393,333101.79609676416,57427.08955244522
2013,"usgs08164000",154099.79078346156,383909.44178423233,62791.791647246406
2014,"usgs08164000",86646.24649133076,212343.32590815856,35736.434595171464
2015,"usgs08164000",57819.413333584635,135224.54574188325,25055.020204938108
2016,"usgs08164000",59548.313226284976,131580.8254734694,27831.812046897554
2017,"usgs08164000",22033.180834393366,48898.36835972061,10052.672411723444
2018,"usgs08164000",18800.24280122781,37718.577237812286,9578.312919587574
2019,"usgs08164000",32383.979608952282,66672.6117477534,15816.373835963672
2020,"usgs08164000",24756.33289073888,65398.4959928553,9661.895785570923
2005,"usgs08164525",194184.04597280052,308943.0879362275,123968.43615340005
2006,"usgs08164525",194184.04540997176,308943.0869498349,123968.43582951918
2007,"usgs08164525",194184.0450472256,308943.08634181326,123968.4356824964
2008,"usgs08164525",195028.83672722167,310536.48559369583,124439.29490264459
2009,"usgs08164525",194184.04126003938,308943.07994925574,123968.43361857142
2010,"usgs08164525",194184.03839781327,308943.07514431066,123968.43185931114
2011,"usgs08164525",194184.03786454833,308943.0742771853,123968.43142574828
2012,"usgs08164525",195028.8310233804,310536.4760432055,124439.29125756673
2013,"usgs08164525",194184.038216693,308943.0749346303,123968.43131890634
2014,"usgs08164525",194184.03789576108,308943.0743943032,123968.4309794282
2015,"usgs08164525",194184.03797042483,308943.07453473686,123968.43095321066
2016,"usgs08164525",195028.82979064272,310536.47431721195,124439.29006502766
2017,"usgs08164525",194184.03545242955,308943.0714143339,123968.42921901438
2018,"usgs08164525",194184.03413194942,308943.0700756894,123968.42821266953
2019,"usgs08164525",194184.03372710128,308943.06982654677,123968.4278232455
2020,"usgs08164525",195028.82624751612,310536.4704687672,124439.28737277893
2005,"usgs08164390",106366.45140831765,161372.39376656336,71188.09734113567
2006,"usgs08164390",106209.00989352589,157464.42831650563,72740.59376258783
2007,"usgs08164390",105358.82051125343,153082.0161667462,73508.02291095546
2008,"usgs08164390",104174.22950725004,148940.06725386175,73671.37105779104
2009,"usgs08164390",102408.06812844124,145107.01553820932,72944.94656728959
2010,"usgs08164390",100214.06560768343,141212.71953096215,71716.77946062318
2011,"usgs08164390",96768.68436513473,135787.55472209438,69487.55780283493
2012,"usgs08164390",91890.44401724823,128713.25515280753,66121.49422116771
2013,"usgs08164390",85541.43554545905,119949.94281661099,61529.82381165169
2014,"usgs08164390",78815.57052027593,110864.35414155564,56371.38709637859
2015,"usgs08164390",72320.4098138549,102290.20941078867,51408.49151579359
2016,"usgs08164390",66524.97765744594,95139.38572594144,46851.51529338663
2017,"usgs08164390",61186.09691948897,88835.52221753352,42429.772460251355
2018,"usgs08164390",56517.748984490456,83763.1047064803,38467.62202334736
2019,"usgs08164390",52470.07275792244,79697.67065337689,34903.1273770867
2020,"usgs08164390",49180.771635950965,76811.8551805539,31897.30204622007
2005,"usgs08164450",31151.77635311384,55212.807795234614,17862.16097428188
2006,"usgs08164450",31090.526533975197,54931.260065565846,17861.279910622023
2007,"usgs08164450",31264.795217538245,55136.44442694321,17990.211713602304
2008,"usgs08164450",31876.781770114096,56129.05274770213,18383.93810520534
2009,"usgs08164450",32364.467454430403,57010.77454866802,18661.04960373763
2010,"usgs08164450",33215.50348601139,58518.436282115814,19149.058386337205
2011,"usgs08164450",34182.138817649866,60268.20935287739,19702.094894364174
2012,"usgs08164450",35443.6593909637,62517.17787336202,20441.929318772865
2013,"usgs08164450",36392.59363940491,64376.69247747004,20950.645925209054
2014,"usgs08164450",37667.8416152224,66790.06556155653,21649.10618712633
2015,"usgs08164450",39020.689554102784,69359.55095523248,22392.659459212533
2016,"usgs08164450",40595.96017468805,72379.41325540323,23267.029652453533
2017,"usgs08164450",41585.23517527543,74563.28232133939,23745.191125355646
2018,"usgs08164450",42561.08934041429,76663.93567436363,24246.171639827873
2019,"usgs08164450",43232.40598376869,78166.10424367376,24544.346256486995
2020,"usgs08164450",43854.04705933996,79461.80976189855,24835.607112553997
2005,"usgs08164503",147792.32979561936,242146.67784507608,90580.05711228873
2006,"usgs08164503",142516.43967516985,231851.6995327196,87840.48433179082
2007,"usgs08164503",136690.83278231102,220980.16219534198,84734.11468176503
2008,"usgs08164503",132253.9362315813,212896.35814738635,82337.43021556419
2009,"usgs08164503",124051.01218642945,199030.5365307663,77557.82530857438
2010,"usgs08164503",118086.8453231532,189098.62928756356,74078.91148372242
2011,"usgs08164503",112786.83967142481,180591.45802771,70845.49292994432
2012,"usgs08164503",109724.80419502033,175913.10335826638,69025.73971233876
2013,"usgs08164503",104313.95729453434,167441.2223693061,65621.25285084872
2014,"usgs08164503",101275.79187099321,162932.66318037777,63633.381318545275
2015,"usgs08164503",99198.08275542285,160220.6039116989,62218.69095274784
2016,"usgs08164503",99601.76977034623,161606.89286383332,62305.16173490182
2017,"usgs08164503",98290.49786832117,160210.1976369245,61311.973054007736
2018,"usgs08164503",99490.48419896157,162978.82650308448,61839.14711242754
2019,"usgs08164503",101704.8232417749,167608.37094906584,62988.01909345
2020,"usgs08164503",106366.70099447391,176227.03228373558,65677.71131645764
2005,"usgs08164504",111383.72590203148,259354.69496611183,49740.722242456206
2006,"usgs08164504",116657.15938820105,254487.6111065069,55189.661110456494
2007,"usgs08164504",147421.06262725347,275444.45321734104,81705.3787856587
2008,"usgs08164504",167669.63369326267,296331.9239019224,97145.97038257857
2009,"usgs08164504",140448.0938213911,268020.0382431928,74638.99303568946
2010,"usgs08164504",111292.62547443679,223064.19984162998,54961.76674597721
2011,"usgs08164504",217954.28939150897,436131.8172565238,111370.80670647432
2012,"usgs08164504",342083.9360843911,678000.2557493122,177485.53987264883
2013,"usgs08164504",286518.4038104103,581617.5886497698,148129.2188740309
2014,"usgs08164504",195125.87738811708,403412.1233025629,98191.80518895203
2015,"usgs08164504",294276.7119271185,587263.1845195075,152106.63747465605
2016,"usgs08164504",667525.5383159796,1269647.3514215345,365381.5969903047
2017,"usgs08164504",460710.9382660656,982573.2757856471,228115.5882768989
2018,"usgs08164504",235196.74557103642,543584.2212582126,105742.63969188558
2019,"usgs08164504",131850.48813246365,306142.53858533275,59762.35997310924
2020,"usgs08164504",187069.20205366338,442696.3910121399,85445.19364171849
