"year","site_no","TP_Estimate","TP_Upper","TP_Lower"
2000,"usgs08164000",103111.34692149203,130955.74257687115,82374.6063368681
2001,"usgs08164000",101361.22659814545,127746.31218384576,81337.82561061083
2002,"usgs08164000",99294.74049807103,123914.22896513736,80369.23779821757
2003,"usgs08164000",97287.54974430423,120692.53304726165,79198.03953516572
2004,"usgs08164000",93242.86887790772,115077.82004472069,76150.04406220336
2005,"usgs08164000",88045.76117309289,108221.20768196553,72055.63849444121
2006,"usgs08164000",85189.40420287078,104333.43144105772,69886.28215593281
2007,"usgs08164000",84065.60094929881,102557.62211562063,69330.33142403796
2008,"usgs08164000",82483.2476070659,100412.65699427859,68363.58520101274
2009,"usgs08164000",82932.42842209722,100697.76993731408,69037.67214605748
2010,"usgs08164000",85912.19865232159,103911.58632046162,71871.24644208096
2011,"usgs08164000",88679.74855114355,106994.14264712535,74297.761345109
2012,"usgs08164000",91495.33416119582,110415.23124736511,76658.23121742833
2013,"usgs08164000",93532.37800331328,113281.58917020269,78203.0561598026
2014,"usgs08164000",94257.21798495878,114436.52029412882,78443.02677355385
2015,"usgs08164000",93350.54142555967,113899.27715654501,77231.525268497
2016,"usgs08164000",93204.43256475597,114020.48947276398,76464.63667596673
2017,"usgs08164000",95303.60795695912,116938.05510977059,77552.31720110917
2018,"usgs08164000",98077.00211910912,121081.73289992772,79346.91024875498
2019,"usgs08164000",102598.56970609419,128035.98366345011,82429.46554230197
2020,"usgs08164000",107657.98844361874,135259.97177483083,85999.91793217079
2000,"lktexana_g",178925.53566423294,212419.0215494402,151225.21325813554
2001,"lktexana_g",178168.45782616964,210004.44564511254,151843.75654042352
2002,"lktexana_g",178172.69404831584,208149.41168646666,153210.57705332147
2003,"lktexana_g",172604.79862583897,200446.16996337156,148787.8191863233
2004,"lktexana_g",162844.5637802888,188466.61264155174,140604.34787083
2005,"lktexana_g",148853.64324842874,172735.16101033523,128071.98604267067
2006,"lktexana_g",140377.2654263591,163743.045278206,119920.2496436819
2007,"lktexana_g",136743.594214714,160460.45485620876,116187.65022805273
2008,"lktexana_g",137069.59494076337,161774.2976368999,116128.05249295423
2009,"lktexana_g",134474.15897930803,158790.1123469283,113659.8785888574
2010,"lktexana_g",132280.9323991868,156440.855571944,111382.44867250888
2011,"lktexana_g",129807.0650274761,153805.01300375626,109064.26379538879
2012,"lktexana_g",129410.38172680784,153513.8062280753,108730.12998497985
2013,"lktexana_g",127389.29032585803,151387.2659925328,106883.53816888975
2014,"lktexana_g",127827.70794279131,152309.92056469887,107122.37148434759
2015,"lktexana_g",129424.35770530085,154134.30880165455,108262.07769290479
2016,"lktexana_g",133438.51477183946,159210.27325273858,111232.09461026282
2017,"lktexana_g",134773.1196041271,161594.5406113308,112012.22029760115
2018,"lktexana_g",136484.60460854636,164810.30668725548,112762.36627710752
2019,"lktexana_g",136788.52146782711,166793.5223138886,111839.38020849515
2020,"lktexana_g",137957.48893995368,169570.188068836,111841.78053445325
2000,"usgs08164390",97236.91300663727,120863.92576522699,77315.74202190242
2001,"usgs08164390",82124.15261686311,98405.54331267138,68255.60409699855
2002,"usgs08164390",73854.82642033599,88488.54070669075,62045.48825551451
2003,"usgs08164390",63947.101987970695,76740.09915948368,53614.19967583952
2004,"usgs08164390",51203.60567221168,61967.0056286508,42195.39517097208
2005,"usgs08164390",41997.322867989846,51293.503586130224,34199.40669936476
2006,"usgs08164390",40404.38826489308,49443.191847169,32980.639871740714
2007,"usgs08164390",44683.46993879533,54471.214936606186,36753.84066825011
2008,"usgs08164390",50883.41320541863,61412.71884897062,42336.30392371845
2009,"usgs08164390",59359.15387889217,71021.55963664853,50510.701668433336
2010,"usgs08164390",70209.81912856002,81834.9507918339,60478.03681288739
2011,"usgs08164390",81134.12607223517,93015.58287835303,70422.32833252262
2012,"usgs08164390",86766.44704620655,99543.2280939436,75072.73107820647
2013,"usgs08164390",79863.88417074535,93247.34403447688,68079.11440108306
2014,"usgs08164390",66183.82428503678,78812.70354922443,55452.59340153452
2015,"usgs08164390",53690.46380362809,64297.46438299906,44525.516327369674
2016,"usgs08164390",46757.93072133736,56329.11124831654,38845.795841193874
2017,"usgs08164390",46362.87463556393,55644.657282041175,38546.86118886677
2018,"usgs08164390",52445.172031159746,63089.70767204679,43939.24055644011
2019,"usgs08164390",65382.260984708104,78944.44131403902,54275.49420319666
2020,"usgs08164390",81107.40700980178,100403.21682611613,65880.04037362407
2000,"usgs08164450",78968.53571745438,153807.2258841116,40159.64241701159
2001,"usgs08164450",53760.64537369943,94195.09310535961,30052.888317179444
2002,"usgs08164450",54368.49416813626,91476.8600680485,31262.74981381195
2003,"usgs08164450",108480.6197772478,176090.38644341895,63598.88606553764
2004,"usgs08164450",129333.44003988344,207772.78984046253,77059.39944994208
2005,"usgs08164450",67802.33311444445,113278.69791696791,38909.06807060532
2006,"usgs08164450",39362.84177889879,68164.49799753663,21380.77448615555
2007,"usgs08164450",33098.40073962816,57919.69070273614,17668.142291569187
2008,"usgs08164450",36414.21665934598,63262.3328390272,20213.439623360875
2009,"usgs08164450",45223.83304121722,77058.50589383708,25809.12732802234
2010,"usgs08164450",46037.83288210434,76535.60494887672,26773.638859979026
2011,"usgs08164450",36093.89177693462,58238.679271892004,21741.871058718843
2012,"usgs08164450",32681.762791955596,51666.79292463805,20204.12990882986
2013,"usgs08164450",34358.686670668634,54314.101058860564,21317.0538664619
2014,"usgs08164450",38153.275348206516,60970.21398340052,23366.641822894046
2015,"usgs08164450",42516.071232927934,68871.85174745503,25733.147392369076
2016,"usgs08164450",41791.404972148,70800.68986730704,24556.807611959357
2017,"usgs08164450",47574.318220550944,83018.67274336366,27002.752750533175
2018,"usgs08164450",54954.53736327744,95410.76479903083,31004.71903207778
2019,"usgs08164450",60183.222915925966,104272.20221995872,33089.059214366745
2020,"usgs08164450",80782.7755212383,146288.37620572286,41391.18447540631
2000,"usgs08164503",206274.21366792324,334761.8221166929,129125.12789551093
2001,"usgs08164503",109597.2645367469,174059.55557839802,70192.02784475588
2002,"usgs08164503",64596.00761208208,103202.54386515144,41698.46077539223
2003,"usgs08164503",48035.43237452972,78130.79809388549,30946.27490902939
2004,"usgs08164503",42660.52422085095,70439.57080321692,27204.333461869217
2005,"usgs08164503",40015.895021136355,66802.62235483344,25149.685141757407
2006,"usgs08164503",40939.993484624734,68581.96920284886,25629.017636970562
2007,"usgs08164503",43827.545974722656,73345.87362011784,27567.02377317394
2008,"usgs08164503",47551.125707825566,78844.95688875452,29960.77287880296
2009,"usgs08164503",49253.405447464655,79429.89708772575,31353.400568439105
2010,"usgs08164503",49381.936020830915,78335.7004236666,31820.244580388877
2011,"usgs08164503",50244.48035877211,78711.26936341678,32345.8125615096
2012,"usgs08164503",52689.073132117795,82354.60244140898,34024.58462591519
2013,"usgs08164503",51095.48792325418,79990.92748058752,33231.901273148156
2014,"usgs08164503",45650.913187400256,72241.92074068527,29674.324023031426
2015,"usgs08164503",39535.88973556531,63347.89704928821,25201.30302419276
2016,"usgs08164503",36179.627826006435,58592.899267607725,22713.556934990123
2017,"usgs08164503",36005.70070832725,58771.76081773884,22449.28106107885
2018,"usgs08164503",40178.923620267466,66101.19976533123,24884.903650364755
2019,"usgs08164503",48422.365349092805,80403.54110913674,29589.096227506358
2020,"usgs08164503",61976.306695419014,106183.09909616983,36048.1875618633
2000,"usgs08164504",33678.6815291672,46054.28294107109,24230.143490901064
2001,"usgs08164504",32568.981798263234,44370.59185441879,23485.73716329534
2002,"usgs08164504",32123.538563043792,43630.09499341268,23234.20421948204
2003,"usgs08164504",31684.187594510844,42887.47143300748,22975.502084939173
2004,"usgs08164504",31873.655207555294,43028.65765761699,23153.131280401303
2005,"usgs08164504",30823.43031603563,41563.34750448191,22446.332134660373
2006,"usgs08164504",30401.860769886647,40990.32298202509,22145.63348706069
2007,"usgs08164504",29986.056984566618,40390.57745693456,21879.30088602241
2008,"usgs08164504",30165.36992711415,40658.49719919669,22085.878188444065
2009,"usgs08164504",29171.432344382727,39310.33617264891,21427.010651548637
2010,"usgs08164504",28772.45700043739,38780.980901423216,21164.567767363587
2011,"usgs08164504",28378.93840455718,38310.08952900008,20875.293972603813
2012,"usgs08164504",28548.640945386367,38591.20098092025,20952.04174288713
2013,"usgs08164504",27607.97395070287,37432.60789545784,20188.64256538369
2014,"usgs08164504",27230.38188026394,37045.11568414968,19816.48996691214
2015,"usgs08164504",26857.954109717844,36669.45183581773,19456.234823092618
2016,"usgs08164504",27018.561358085855,36969.39095545341,19475.54252716342
2017,"usgs08164504",26128.309943757537,35897.548119975225,18740.271663207088
2018,"usgs08164504",25770.95518673347,35557.259639608594,18371.108744699064
2019,"usgs08164504",25418.487972439347,35234.01176951291,17995.844632133438
2020,"usgs08164504",25570.487504128287,35630.745681927394,17993.486503110988
