"month","site_no","NO3_Estimate","NO3_Upper","NO3_Lower"
"2005-01","usgs08164000",5185.104046806118,9820.582104134724,2800.17984966093
"2005-02","usgs08164000",24840.717827952918,49924.11454438434,12892.828082331334
"2005-03","usgs08164000",27665.09543649945,55550.90324112381,14372.060689528054
"2005-04","usgs08164000",3165.1516177908566,5587.941127490227,1773.4041290848959
"2005-05","usgs08164000",8805.905445422108,17138.195257029893,4667.049421084895
"2005-06","usgs08164000",3455.8110945861577,6491.418247691149,1880.7812192873573
"2005-07","usgs08164000",1661.9210291018353,2828.74577766676,960.2838296850198
"2005-08","usgs08164000",1015.9515409075177,1701.6679606932835,600.891960488869
"2005-09","usgs08164000",849.2576292012662,1437.7743063550986,495.4333699969663
"2005-10","usgs08164000",1666.3276257561652,3125.3568712061574,908.6013075872271
"2005-11","usgs08164000",435.3620408316896,732.6994098455714,255.41219743739225
"2005-12","usgs08164000",458.9468207393175,773.1690151726964,268.77932478331314
"2006-01","usgs08164000",450.2944737088178,758.2070602476688,264.5254934515318
"2006-02","usgs08164000",506.7011133942192,860.5594887101254,294.4801010875058
"2006-03","usgs08164000",1690.3110203268484,3053.0139752714176,945.5002230934357
"2006-04","usgs08164000",501.64764024178123,839.4694517900462,296.1059124072668
"2006-05","usgs08164000",1076.4385543274514,2073.136674481252,576.1284662839072
"2006-06","usgs08164000",1380.885112770873,2496.4560571949723,773.0331174348651
"2006-07","usgs08164000",3089.4681180898906,5829.573303781783,1687.1181683495017
"2006-08","usgs08164000",135.95150823956686,229.24557459996615,79.22624072264178
"2006-09","usgs08164000",722.3518031805038,1257.654456938404,415.2574841802379
"2006-10","usgs08164000",1573.9515567208211,2864.509009552838,881.4386308524826
"2006-11","usgs08164000",129.35325374089865,216.8832713527349,75.65886710660004
"2006-12","usgs08164000",248.30137812820627,411.12408417913076,147.36212461795014
"2007-01","usgs08164000",14437.4541322213,28319.763836983453,7750.398273981309
"2007-02","usgs08164000",983.0484002775078,1649.3333563082215,582.7877848516208
"2007-03","usgs08164000",23531.715492559913,46623.55772231994,12527.652357691339
"2007-04","usgs08164000",17159.424916659216,33605.695344006876,9211.875800393955
"2007-05","usgs08164000",53608.04798951047,107302.97719484386,28418.197544173345
"2007-06","usgs08164000",6712.534513268542,12531.202484962345,3707.1829409002808
"2007-07","usgs08164000",88152.48261832328,176084.32333865506,46811.241343453825
"2007-08","usgs08164000",5561.084631571582,10097.910368645058,3129.2558770066503
"2007-09","usgs08164000",5483.688555563393,10141.239611727091,3061.215101901533
"2007-10","usgs08164000",6730.465462734274,12700.054461767,3700.2874362293132
"2007-11","usgs08164000",1442.870448370134,2364.9734452112393,875.7328466286446
"2007-12","usgs08164000",1016.0929609331844,1617.0925752087455,630.2531903794933
"2008-01","usgs08164000",2043.492143637738,3436.7232701392963,1207.44971662007
"2008-02","usgs08164000",1842.4168621215706,3021.136459368057,1108.9935368615252
"2008-03","usgs08164000",4408.093060684904,7936.7734408978295,2515.8940610853697
"2008-04","usgs08164000",998.8973946292045,1572.5790855849812,623.9715742637827
"2008-05","usgs08164000",418.48208266963445,658.3409124381619,255.72703411821308
"2008-06","usgs08164000",205.0799005027225,331.0559642755866,124.63312387162335
"2008-07","usgs08164000",188.94440531432733,309.7018531563902,114.59856355042517
"2008-08","usgs08164000",166.78655794701834,269.21227487862177,101.72729229328917
"2008-09","usgs08164000",963.2726325196309,1796.2236982422778,537.1005048477145
"2008-10","usgs08164000",232.1904864591889,379.5201255751048,139.26400215606114
"2008-11","usgs08164000",270.9557691849558,446.3451705696803,162.6507658867563
"2008-12","usgs08164000",109.92262148537145,183.53284586695816,66.36374460678785
"2009-01","usgs08164000",121.97268734896582,201.1908256520183,74.63920679632645
"2009-02","usgs08164000",102.95853681817529,170.12391611101742,62.788885395481714
"2009-03","usgs08164000",169.22873874426554,271.7744584112067,104.74558732465506
"2009-04","usgs08164000",15826.392735034127,31082.57589641291,8509.69829339185
"2009-05","usgs08164000",1375.2773784637461,2207.2746687426516,843.5422714999896
"2009-06","usgs08164000",151.01763372933414,242.41053293951032,94.27486828882792
"2009-07","usgs08164000",64.23731151852935,105.80428724978294,38.52389184963074
"2009-08","usgs08164000",8.121337496110518,15.059156143756748,4.1571157272071355
"2009-09","usgs08164000",492.5103330003764,798.6638438960914,300.02308660214806
"2009-10","usgs08164000",27756.432973711126,54279.006564216776,14798.948882948482
"2009-11","usgs08164000",10242.302701240056,19893.311124946344,5490.827228773449
"2009-12","usgs08164000",15112.561799667956,28935.16612888532,8215.09134552846
"2010-01","usgs08164000",23622.543907310606,45498.71587802973,12786.10861845693
"2010-02","usgs08164000",13790.731013469716,26220.12782777016,7534.162956514219
"2010-03","usgs08164000",3433.182721120735,5681.517878381156,2067.892985336221
"2010-04","usgs08164000",2319.6031718924582,3727.911785408767,1454.2205934013875
"2010-05","usgs08164000",8448.18116805595,16003.443918697887,4681.403992508837
"2010-06","usgs08164000",1377.9436181626158,2247.2693030971736,851.1425133558436
