"month","site_no","TP_Estimate","TP_Upper","TP_Lower"
"2000-01","usgs08164000",5323.508687717497,7313.421427365125,3967.6141825256423
"2000-02","usgs08164000",4542.626625496676,6134.931964994598,3441.3240156279326
"2000-03","usgs08164000",10241.905972563663,14569.45943911805,7397.0997956841475
"2000-04","usgs08164000",6634.228105573346,9297.762438900854,4900.08976610329
"2000-05","usgs08164000",13995.029996970045,19709.01921028576,10330.996636449438
"2000-06","usgs08164000",11754.091632190122,16485.74176548844,8709.322900695295
"2000-07","usgs08164000",10291.860786995872,14504.931975196987,7555.331936277243
"2000-08","usgs08164000",11106.955759796996,17617.233773865526,7152.437507298128
"2000-09","usgs08164000",7140.753214879972,10875.639242728856,4838.118382974107
"2000-10","usgs08164000",5640.830662075137,8178.028343903606,4009.4293355657355
"2000-11","usgs08164000",9977.488818909904,14266.89825651627,7160.610761636644
"2000-12","usgs08164000",5654.754317159014,7804.480510613684,4185.540226356932
"2001-01","usgs08164000",5285.377388299917,7239.839427770454,3944.2751276356316
"2001-02","usgs08164000",4411.917612437752,5935.294805065409,3346.197029133284
"2001-03","usgs08164000",9822.916239645641,13888.963941276708,7110.5948734250715
"2001-04","usgs08164000",6746.295126774078,9417.552649237316,4987.105414194054
"2001-05","usgs08164000",13484.320034602995,18839.455636445546,9993.29932725347
"2001-06","usgs08164000",11889.306390960268,16534.113490261014,8856.206648730446
"2001-07","usgs08164000",10278.653458678264,14386.983785830262,7576.55499185052
"2001-08","usgs08164000",9433.031804540655,14843.511775771172,6180.891188515052
"2001-09","usgs08164000",8465.322042451313,12944.87677217593,5718.057623435525
"2001-10","usgs08164000",5497.560492007209,7896.275915572954,3921.58110970865
"2001-11","usgs08164000",9795.71661493527,13877.192071246476,7058.683723010145
"2001-12","usgs08164000",5505.252223040362,7517.370397698962,4088.802323759161
"2002-01","usgs08164000",5168.313004456646,6990.157192143871,3876.043637288336
"2002-02","usgs08164000",4314.500633216837,5727.809541786589,3297.2398791052765
"2002-03","usgs08164000",9608.71239433387,13450.392291937256,7014.348466401122
"2002-04","usgs08164000",6601.155793399496,9084.951570127309,4913.400495844273
"2002-05","usgs08164000",13200.711876371897,18224.196974580595,9848.719916222572
"2002-06","usgs08164000",11647.833490933263,16031.083404216974,8755.55089588546
"2002-07","usgs08164000",10075.72305832272,13952.994159299828,7506.275753088268
"2002-08","usgs08164000",9257.836211124695,14519.513757999479,6100.623738587569
"2002-09","usgs08164000",8310.249774245502,12627.362566130663,5638.967423351013
"2002-10","usgs08164000",5401.957173767366,7682.361459774198,3878.734494444489
"2002-11","usgs08164000",9630.805771889853,13458.329726625532,6985.658514958769
"2002-12","usgs08164000",5414.359114293573,7314.600573647015,4044.0194638108537
"2003-01","usgs08164000",5085.315752209763,6795.892931190269,3848.1103451555164
"2003-02","usgs08164000",4244.88197606816,5577.841420130852,3275.9296064663217
"2003-03","usgs08164000",9451.780287425776,13152.266800269861,6952.418607924895
"2003-04","usgs08164000",6491.4901306841275,8873.917035102068,4860.393509531826
"2003-05","usgs08164000",12971.065328992574,17801.094060565963,9718.604458543963
"2003-06","usgs08164000",11434.506563653853,15669.528584884565,8621.991876063094
"2003-07","usgs08164000",9884.085297986318,13562.265697811625,7395.139424950994
"2003-08","usgs08164000",9061.729160779747,13963.632567331699,5997.363573070418
"2003-09","usgs08164000",8129.8928330680765,12188.432729079494,5553.5084440618775
"2003-10","usgs08164000",5273.887671707683,7445.129557234694,3813.3535382133473
"2003-11","usgs08164000",9381.594104244577,13085.79346744514,6852.004667155169
"2003-12","usgs08164000",5265.135295676751,7066.686933781634,3964.8596447355517
"2004-01","usgs08164000",4932.071012455158,6544.1704564326565,3758.2724532270213
"2004-02","usgs08164000",4192.384851392355,5468.645441541606,3249.4487940697263
"2004-03","usgs08164000",9412.649731826756,13008.879121619451,6917.650658848872
"2004-04","usgs08164000",6069.880133760601,8260.856050631508,4555.0043904432605
"2004-05","usgs08164000",12744.807470945121,17457.534421097327,9548.308397445067
"2004-06","usgs08164000",10649.87575707514,14557.828217311258,8047.9767713979845
"2004-07","usgs08164000",9291.074394897269,12730.225459658173,6956.613530978269
"2004-08","usgs08164000",9956.154644545762,15540.313471520698,6638.910903021807
