RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
14525750|2453|13383|LAVACA BAY AT SH 35|00300|OXYGEN, DISSOLVED (MG/L)||4.9|06/28/2016|12:00|1.3||||||WC|FO|RT|
14481443|2453|13383|LAVACA BAY AT SH 35|00300|OXYGEN, DISSOLVED (MG/L)||7.3|11/30/2015|10:45|2.1||||||WC|FO|RT|
14511327|2453|13383|LAVACA BAY AT SH 35|00300|OXYGEN, DISSOLVED (MG/L)||9.2|05/05/2016|11:40|0.3||||||WC|FO|RT|
14511328|2453|13383|LAVACA BAY AT SH 35|00300|OXYGEN, DISSOLVED (MG/L)||8.4|05/05/2016|11:40|1.3||||||WC|FO|RT|
R189172|2453|13383|LAVACA BAY AT SH 35|00300|OXYGEN, DISSOLVED (MG/L)||7|02/16/2000|10:30|0.3||||||WC|FO|RT|CLOUDY WITH LIGHT DRIZZLE. COLD.
2044793|2453|13383|LAVACA BAY AT SH 35|00300|OXYGEN, DISSOLVED (MG/L)||6.6|05/03/2001|09:30|3.1||||||WC|FO|RT|
R211812|2453|13383|LAVACA BAY AT SH 35|00300|OXYGEN, DISSOLVED (MG/L)||6.9|07/30/2003|14:00|0.3||||||WC|FO|RT|PARTLY CLOUDY, WATER SANDY GREEN, SMALL MULLET AND PERCH SWIMMING NEAR PILINGS,SOME CABBAGE HEAD, SOUTH WIND @ 5-10 MPH.
R217983|2453|13383|LAVACA BAY AT SH 35|00300|OXYGEN, DISSOLVED (MG/L)||6.6|06/14/2004|13:37|0.3||||||WC|FO|RT|MOSTLY CLOUDY, BAY BECOMING CHOPPY
13496541|2453|13383|LAVACA BAY AT SH 35|00300|OXYGEN, DISSOLVED (MG/L)||6|07/05/2012|13:10|1.2||||||WC|FO|RT|
14386424|2453|13383|LAVACA BAY AT SH 35|00300|OXYGEN, DISSOLVED (MG/L)||7|04/30/2014|12:10|0.3||||||WC|FO|RT|
