RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
0041343|2453|13384|LAVACA BAY AT Y AT CM 66|00615|NITRITE NITROGEN, TOTAL (MG/L AS N)|<|0.15|01/08/2003|13:03|0.3||||||WC|FO|RT|LIM 00620     1 TRDE The LFB for Nitrate-Nitrogen was 116% which is outside of tLIM 00620     2 TRDE e 90-110% acceptance limits.LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic CarboLIM 00680     2 TRDE  (NPOC).
0046077|2453|13384|LAVACA BAY AT Y AT CM 66|00615|NITRITE NITROGEN, TOTAL (MG/L AS N)|<|0.45|03/30/2004|13:10|0.3||||||WC|FO|RT|
0048979|2453|13384|LAVACA BAY AT Y AT CM 66|00615|NITRITE NITROGEN, TOTAL (MG/L AS N)|<|0.75|12/28/2004|11:40|0.3||||||WC|FO|RT|
0043252|2453|13563|LAVACA BAY AT CM 22|00615|NITRITE NITROGEN, TOTAL (MG/L AS N)|<|0.25|05/07/2003|15:00|0.3||||||WC|FO|RT|LIM 70507     1 TRDE The AWRL for o-PO4 was 160% which is outside of the 75-125%LIM 70507     2 TRDE acceptance limits.    The continuing calibration blank (CCBLIM 70507     3 TRDE  was greater than 1/2 MRL (Method Reporting Limit) for o-POLIM 70507     4 TRDE .LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic CarboLIM 00680     2 TRDE  (NPOC).
0041340|2453|13383|LAVACA BAY AT SH 35|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.1|01/08/2003|11:50|0.3||||||WC|FO|RT|LIM 00620     1 TRDE The LFB recovery for Nitrate-Nitrogen was 115% which is outLIM 00620     2 TRDE ide of the 90-110% acceptance limits; the CCV recovery forLIM 00620     3 TRDE itrate-Nitrogen was 114% which is outside of the 90-110% acLIM 00620     4 TRDE eptance limits.LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic CarboLIM 00680     2 TRDE  (NPOC).
0045087|2453|13383|LAVACA BAY AT SH 35|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.2|07/30/2003|14:00|0.3||||||WC|FO|RT|LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic CarboLIM 00680     2 TRDE  (NPOC).
0045164|2453|13383|LAVACA BAY AT SH 35|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.5|11/05/2003|13:45|0.3||||||WC|FO|RT|
0048979|2453|13384|LAVACA BAY AT Y AT CM 66|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.75|12/28/2004|11:40|0.3||||||WC|FO|RT|
0045086|2453|13384|LAVACA BAY AT Y AT CM 66|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.3|07/30/2003|13:20|0.3||||||WC|FO|RT|LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic CarboLIM 00680     2 TRDE  (NPOC).
LN21161|2453|14720|LAVACA BAY|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)||0.47|01/24/2001|11:40|0.34||||||LN|LN|RT|
LN21931|2453|14720|LAVACA BAY|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)||0.03|01/14/2002|09:00|0.42||||||LN|LN|RT|
0049048|2453|13383|LAVACA BAY AT SH 35|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|04/14/2005|14:52|0.3||||||WC|FO|RT|
0051952|2453|13384|LAVACA BAY AT Y AT CM 66|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|10/18/2005|12:10|0.3||||||WC|FO|RT|
0054680|2453|13383|LAVACA BAY AT SH 35|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|05/22/2006|12:30|0.3||||||WC|FO|RT|
1012077|2453|13384|LAVACA BAY AT Y AT CM 66|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|11/28/2006|11:15|0.3||||||WC|FO|RT|
1012200|2453|13563|LAVACA BAY AT CM 22|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|11/28/2006|13:30|0.3||||||WC|FO|RT|
1026799|2453|13384|LAVACA BAY AT Y AT CM 66|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)||0.05|08/29/2007|13:15|0.3||||||WC|FO|RT|
1017399|2453|13563|LAVACA BAY AT CM 22|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)||0.27|06/06/2007|13:35|0.3||||||WC|FO|RT|
1068906|2453|13384|LAVACA BAY AT Y AT CM 66|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|10/28/2008|11:45|0.3||||||WC|FO|RT|
1185563|2453|13563|LAVACA BAY AT CM 22|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)||0.24|02/10/2010|11:55|0.3||||||WC|FO|RT|
1185562|2453|13384|LAVACA BAY AT Y AT CM 66|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)||0.29|02/17/2010|13:10|0.3||||||WC|FO|RT|
1194870|2453|13383|LAVACA BAY AT SH 35|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|05/05/2010|11:55|0.3||||||WC|FO|RT|
1326979|2453|13383|LAVACA BAY AT SH 35|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|05/09/2012|11:50|0.3||||||WC|FO|RT|
1221353|2453|13384|LAVACA BAY AT Y AT CM 66|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|11/09/2010|11:00|0.3||||||WC|FO|RT|
1314496|2453|13383|LAVACA BAY AT SH 35|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|02/23/2012|11:45|0.3||||||WC|FO|RT|Alkalinity and Cl not analyzed due to lab error.  TSS and VSS not analyzed due to log-in error; the error was corrected, but the sample holding time was exceeded before analysis could be performed. kr 12/31/12
1428790|2453|13383|LAVACA BAY AT SH 35|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|11/19/2013|12:10|0.3||||||WC|FO|RT|Field data sheet not available per region staff DMA DEC 2016
1413753|2453|13383|LAVACA BAY AT SH 35|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|05/14/2013|11:40|0.3||||||WC|FO|RT|
1413754|2453|13384|LAVACA BAY AT Y AT CM 66|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|05/14/2013|12:05|0.3||||||WC|FO|RT|
1466591|2453|13384|LAVACA BAY AT Y AT CM 66|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|08/26/2014|11:55|0.3||||||WC|FO|RT|
1523914|2453|13563|LAVACA BAY AT CM 22|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|11/30/2015|11:00|0.3||||||WC|FO|RT|
1735273|2453|13383|LAVACA BAY AT SH 35|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|08/07/2019|10:55|0.3||||||WC|FO|RT|
1744613|2453|13563|LAVACA BAY AT CM 22|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)||0.06|09/12/2019|10:55|0.3||||||WC|FO|RT|
1645089|2453|13563|LAVACA BAY AT CM 22|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)||0.19|06/26/2018|11:30|0.3||||||WC|FO|RT|
1757487|2453|13563|LAVACA BAY AT CM 22|00630|NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|<|0.04|12/18/2019|11:40|0.3||||||WC|FO|RT|
0031151|2453|13384|LAVACA BAY AT Y AT CM 66|00593|NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)|<|0.15|06/27/2000|12:30|0.3||||||WC|FO|RT|
0035245|2453|13384|LAVACA BAY AT Y AT CM 66|00593|NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)|<|0.25|01/30/2002|12:30|0.3||||||WC|FO|RT|
0035087|2453|13383|LAVACA BAY AT SH 35|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.78|05/03/2001|09:30|0.3||||||WC|FO|RT|LIM 70300     1 TRDE TDS- Lab blanks slightly elevated for analytical run
0035086|2453|13384|LAVACA BAY AT Y AT CM 66|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.68|05/02/2001|10:45|0.3||||||WC|FO|RT|LIM 70300     1 TRDE TDS- Lab blanks slightly elevated for analytical run
0041341|2453|13563|LAVACA BAY AT CM 22|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.86|01/08/2003|12:06|0.3||||||WC|FO|RT|LIM 00620     1 TRDE The LFB recovery for Nitrate-Nitrogen was 115% which is outLIM 00620     2 TRDE ide of the 90-110% acceptance limits; the CCV recovery forLIM 00620     3 TRDE itrate-Nitrogen was 114% which is outside of the 90-110% acLIM 00620     4 TRDE eptance limits.LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic CarboLIM 00680     2 TRDE  (NPOC).
0047708|2453|13563|LAVACA BAY AT CM 22|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.84|08/11/2004|15:17|0.3||||||WC|FO|RT|
0049049|2453|13384|LAVACA BAY AT Y AT CM 66|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.97|04/14/2005|15:20|0.3||||||WC|FO|RT|
0050288|2453|13383|LAVACA BAY AT SH 35|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.91|07/12/2005|11:40|0.3||||||WC|FO|RT|
0051950|2453|13563|LAVACA BAY AT CM 22|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.99|10/18/2005|11:45|0.3||||||WC|FO|RT|
1029876|2453|13384|LAVACA BAY AT Y AT CM 66|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.63|09/11/2007|12:20|0.3||||||WC|FO|RT|
