RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN31596|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.21|01/20/2015|10:17|0.3||||||LN|LN|RT|
LN29886|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.59|04/24/2012|10:29|0.3||||||LN|LN|RT|
LN30688|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.06|07/08/2013|10:24|0.3||||||LN|LN|RT|
LN29779|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.53|01/11/2012|10:32|0.3||||||LN|LN|RT|
LN25798|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.08|10/17/2005|10:30|0.326||||||LN|LN|RT|
LN26266|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.082|07/12/2006|08:48|0.3||||||LN|LN|RT|
LN28420|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.12|10/20/2009|10:05|0.312||||||LN|LN|RT|
LN29238|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.25|01/18/2011|10:45|0.3||||||LN|LN|RT|
LN32120|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.15|01/19/2016|10:39|0.128||||||LN|LN|RT|
LN34225|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.91|04/16/2018|10:41|0.3||||||LN|LN|RT|
LN34533|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.1|10/16/2018|09:35|0.3||||||LN|LN|RT|
LN31302|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.24|07/08/2014|09:55|0.3||||||LN|LN|RT|
LN31750|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.15|04/28/2015|10:53|0.3||||||LN|LN|RT|
LN29342|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.1|04/19/2011|10:18|0.3||||||LN|LN|RT|
LN25478|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.64|04/12/2005|10:27|0.316||||||LN|LN|RT|
LN26442|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.13|10/03/2006|10:16|0.3||||||LN|LN|RT|
LN29071|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.18|10/06/2010|09:45|0.3||||||LN|LN|RT|
LN35579|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.151|07/07/2020|10:09|0.3||||||LN|LN|RT|
