"agency_cd","site_no","Date","Flow","Flow_cd"
"USGS","08164000",2000-01-01,22,"A"
"USGS","08164000",2000-01-02,22,"A"
"USGS","08164000",2000-01-03,23,"A"
"USGS","08164000",2000-01-04,21,"A"
"USGS","08164000",2000-01-05,21,"A"
"USGS","08164000",2000-01-06,22,"A"
"USGS","08164000",2000-01-07,25,"A"
"USGS","08164000",2000-01-08,34,"A"
"USGS","08164000",2000-01-09,38,"A"
"USGS","08164000",2000-01-10,127,"A"
"USGS","08164000",2000-01-11,72,"A"
"USGS","08164000",2000-01-12,51,"A"
"USGS","08164000",2000-01-13,41,"A"
"USGS","08164000",2000-01-14,36,"A"
"USGS","08164000",2000-01-15,33,"A"
"USGS","08164000",2000-01-16,31,"A"
"USGS","08164000",2000-01-17,30,"A"
"USGS","08164000",2000-01-18,30,"A"
"USGS","08164000",2000-01-19,29,"A"
"USGS","08164000",2000-01-20,29,"A"
"USGS","08164000",2000-01-21,28,"A"
"USGS","08164000",2000-01-22,28,"A"
"USGS","08164000",2000-01-23,28,"A"
"USGS","08164000",2000-01-24,27,"A"
"USGS","08164000",2000-01-25,27,"A"
"USGS","08164000",2000-01-26,27,"A"
"USGS","08164000",2000-01-27,30,"A"
"USGS","08164000",2000-01-28,41,"A"
"USGS","08164000",2000-01-29,36,"A"
"USGS","08164000",2000-01-30,39,"A"
"USGS","08164000",2000-01-31,41,"A"
"USGS","08164000",2000-02-01,37,"A"
"USGS","08164000",2000-02-02,35,"A"
"USGS","08164000",2000-02-03,35,"A"
"USGS","08164000",2000-02-04,33,"A"
"USGS","08164000",2000-02-05,32,"A"
"USGS","08164000",2000-02-06,32,"A"
"USGS","08164000",2000-02-07,31,"A"
"USGS","08164000",2000-02-08,30,"A"
"USGS","08164000",2000-02-09,29,"A"
"USGS","08164000",2000-02-10,29,"A"
"USGS","08164000",2000-02-11,29,"A"
"USGS","08164000",2000-02-12,28,"A"
"USGS","08164000",2000-02-13,27,"A"
"USGS","08164000",2000-02-14,27,"A"
"USGS","08164000",2000-02-15,26,"A"
"USGS","08164000",2000-02-16,26,"A"
"USGS","08164000",2000-02-17,25,"A"
"USGS","08164000",2000-02-18,25,"A"
"USGS","08164000",2000-02-19,25,"A"
"USGS","08164000",2000-02-20,24,"A"
"USGS","08164000",2000-02-21,24,"A"
"USGS","08164000",2000-02-22,24,"A"
"USGS","08164000",2000-02-23,59,"A"
"USGS","08164000",2000-02-24,166,"A"
"USGS","08164000",2000-02-25,159,"A"
"USGS","08164000",2000-02-26,96,"A"
"USGS","08164000",2000-02-27,62,"A"
"USGS","08164000",2000-02-28,47,"A"
"USGS","08164000",2000-02-29,40,"A"
"USGS","08164000",2000-03-01,37,"A"
"USGS","08164000",2000-03-02,34,"A"
"USGS","08164000",2000-03-03,32,"A"
"USGS","08164000",2000-03-04,30,"A"
"USGS","08164000",2000-03-05,29,"A"
"USGS","08164000",2000-03-06,28,"A"
"USGS","08164000",2000-03-07,28,"A"
"USGS","08164000",2000-03-08,27,"A"
"USGS","08164000",2000-03-09,26,"A"
"USGS","08164000",2000-03-10,26,"A"
"USGS","08164000",2000-03-11,29,"A"
"USGS","08164000",2000-03-12,26,"A"
"USGS","08164000",2000-03-13,26,"A"
"USGS","08164000",2000-03-14,36,"A"
"USGS","08164000",2000-03-15,944,"A"
"USGS","08164000",2000-03-16,670,"A"
"USGS","08164000",2000-03-17,244,"A"
"USGS","08164000",2000-03-18,134,"A"
"USGS","08164000",2000-03-19,97,"A"
"USGS","08164000",2000-03-20,77,"A"
"USGS","08164000",2000-03-21,66,"A"
"USGS","08164000",2000-03-22,59,"A"
"USGS","08164000",2000-03-23,54,"A"
"USGS","08164000",2000-03-24,50,"A"
"USGS","08164000",2000-03-25,49,"A"
"USGS","08164000",2000-03-26,45,"A"
"USGS","08164000",2000-03-27,42,"A"
"USGS","08164000",2000-03-28,39,"A"
"USGS","08164000",2000-03-29,36,"A"
"USGS","08164000",2000-03-30,34,"A"
"USGS","08164000",2000-03-31,31,"A"
"USGS","08164000",2000-04-01,30,"A"
"USGS","08164000",2000-04-02,139,"A"
"USGS","08164000",2000-04-03,680,"A"
"USGS","08164000",2000-04-04,1500,"A"
"USGS","08164000",2000-04-05,374,"A"
"USGS","08164000",2000-04-06,177,"A"
"USGS","08164000",2000-04-07,115,"A"
"USGS","08164000",2000-04-08,86,"A"
"USGS","08164000",2000-04-09,68,"A"
"USGS","08164000",2000-04-10,58,"A"
"USGS","08164000",2000-04-11,52,"A"
"USGS","08164000",2000-04-12,140,"A"
"USGS","08164000",2000-04-13,620,"A"
"USGS","08164000",2000-04-14,279,"A"
"USGS","08164000",2000-04-15,137,"A"
"USGS","08164000",2000-04-16,89,"A"
"USGS","08164000",2000-04-17,68,"A"
"USGS","08164000",2000-04-18,55,"A"
"USGS","08164000",2000-04-19,48,"A"
"USGS","08164000",2000-04-20,43,"A"
"USGS","08164000",2000-04-21,39,"A"
"USGS","08164000",2000-04-22,35,"A"
"USGS","08164000",2000-04-23,32,"A"
"USGS","08164000",2000-04-24,31,"A"
"USGS","08164000",2000-04-25,29,"A"
"USGS","08164000",2000-04-26,25,"A"
"USGS","08164000",2000-04-27,24,"A"
"USGS","08164000",2000-04-28,23,"A"
"USGS","08164000",2000-04-29,22,"A"
"USGS","08164000",2000-04-30,22,"A"
"USGS","08164000",2000-05-01,22,"A"
"USGS","08164000",2000-05-02,962,"A"
"USGS","08164000",2000-05-03,2870,"A"
"USGS","08164000",2000-05-04,2180,"A"
"USGS","08164000",2000-05-05,459,"A"
"USGS","08164000",2000-05-06,247,"A"
"USGS","08164000",2000-05-07,174,"A"
"USGS","08164000",2000-05-08,137,"A"
"USGS","08164000",2000-05-09,112,"A"
"USGS","08164000",2000-05-10,95,"A"
"USGS","08164000",2000-05-11,83,"A"
"USGS","08164000",2000-05-12,75,"A"
"USGS","08164000",2000-05-13,73,"A"
"USGS","08164000",2000-05-14,70,"A"
"USGS","08164000",2000-05-15,64,"A"
"USGS","08164000",2000-05-16,60,"A"
"USGS","08164000",2000-05-17,55,"A"
"USGS","08164000",2000-05-18,51,"A"
"USGS","08164000",2000-05-19,49,"A"
"USGS","08164000",2000-05-20,1640,"A"
"USGS","08164000",2000-05-21,1460,"A"
"USGS","08164000",2000-05-22,383,"A"
"USGS","08164000",2000-05-23,234,"A"
"USGS","08164000",2000-05-24,159,"A"
"USGS","08164000",2000-05-25,120,"A"
"USGS","08164000",2000-05-26,96,"A"
"USGS","08164000",2000-05-27,81,"A"
"USGS","08164000",2000-05-28,98,"A"
"USGS","08164000",2000-05-29,100,"A"
"USGS","08164000",2000-05-30,81,"A"
"USGS","08164000",2000-05-31,72,"A"
